item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	version_id	lang	source_url	retrieved	media_type	bytes	sha256
32016L0680	Directive (EU) 2016/680 (LED)	Law Enforcement Directive	legislative	in-force		authoritative		32016L0680	eng	http://publications.europa.eu/resource/celex/32016L0680	2026-07-31	application/xml;type=fmx4	175360	008caabc683ae7a925d7a8be593c3efbdaf786847ff3df5998d4495ece1b3aea
32016R0679	Regulation (EU) 2016/679 (GDPR)	General Data Protection Regulation	legislative	in-force		authoritative		32016R0679	eng	http://publications.europa.eu/resource/celex/32016R0679	2026-07-31	application/xml;type=fmx4	352445	e6abe628e199982fc1f90cd41c278bce7056ea26ffee0b4786bc34025f5d0316
32018R1725	Regulation (EU) 2018/1725 (EUDPR)	Data protection for Union institutions and bodies	legislative	in-force		authoritative		32018R1725	eng	http://publications.europa.eu/resource/celex/32018R1725	2026-07-31	application/xml;type=fmx4	243842	557b780ac4ae4fe7f83a3de30bfbdb9d2d3b53c7662dedf3df811786d9046706
32018R1807	Regulation (EU) 2018/1807	Framework for the free flow of non-personal data	legislative	in-force		authoritative		32018R1807	eng	http://publications.europa.eu/resource/celex/32018R1807	2026-07-31	application/xml;type=fmx4	44060	d7299815b92f45391ea53b15bdc3dfe8a27777f8a45c49c4fea3cdec1d5bab4d
32019D0419	Commission Implementing Decision (EU) 2019/419	Adequacy of Japan	delegated	in-force		authoritative		32019D0419	eng	http://publications.europa.eu/resource/celex/32019D0419	2026-07-31	application/xml;type=fmx4	180141	cf014c5bac5dae1058dcf0b61c1c89a1be1a898d8734a1bc9113433ce8a6a04e
32021D0914	Commission Implementing Decision (EU) 2021/914	Standard contractual clauses for transfers to third countries	delegated	in-force		authoritative		32021D0914	eng	http://publications.europa.eu/resource/celex/32021D0914	2026-07-31	application/xml;type=fmx4	75888	fe53ce164742e154b7626454b9f32f1192a23fc373b4714faef34f3df6fed69c
32021D1772	Commission Implementing Decision (EU) 2021/1772	Adequacy of the United Kingdom (GDPR)	delegated	in-force		authoritative		32021D1772	eng	http://publications.europa.eu/resource/celex/32021D1772	2026-07-31	application/xml;type=fmx4	360199	522ffc53b3214164f696f8ef4e0c5759b1fd2b03394fa56ae84eb642ef26df72
32022D0254	Commission Implementing Decision (EU) 2022/254	Adequacy of the Republic of Korea	delegated	in-force		authoritative		32022D0254	eng	http://publications.europa.eu/resource/celex/32022D0254	2026-07-31	application/xml;type=fmx4	278664	505df825ea9005a9ca68ebc1f03e33a5197c10e3325af69b27836224dc7a720b
32022R0868	Regulation (EU) 2022/868 (DGA)	Data Governance Act	legislative	in-force		authoritative		32022R0868	eng	http://publications.europa.eu/resource/celex/32022R0868	2026-07-31	application/xml;type=fmx4	185093	c955b50a10570b77cf36390c8194a047eec1eaef0727c48e31b9c576eb0f7a6c
32023D1795	Commission Implementing Decision (EU) 2023/1795	Adequacy of the EU-US Data Privacy Framework	delegated	in-force		authoritative		32023D1795	eng	http://publications.europa.eu/resource/celex/32023D1795	2026-07-31	application/xml;type=fmx4	243841	96b9ee649e367a403b56c047df478b7d188b49e5ee384da1d92813af1673348a
32023R2854	Regulation (EU) 2023/2854 (Data Act)	Data Act	legislative	in-force		authoritative		32023R2854	eng	http://publications.europa.eu/resource/celex/32023R2854	2026-07-31	application/xml;type=fmx4	292024	760566f9a17d9c3335b112eed2d53a02142f82dfaf8dd89f2a1368c7e3640e90
